,url,sentiment,isExperiential,isPolitical,isInsult,topics
1375781448662269954,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/nasuhbektas/status/1375781448662269954&entry.653903203=26617&usp=pp_url
",Neutral,No,Yes,Yes,['News']
1565827079182098438,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/chanyalcnkaya/status/1565827079182098438&entry.653903203=26617&usp=pp_url
",Positive,Yes,Yes,Yes,"['Democracy', 'Election']"
1596913997189910528,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Ziraate15bin/status/1596913997189910528&entry.653903203=26617&usp=pp_url
",Positive,Yes,Yes,Yes,"['News', 'Democracy', 'Election', 'Nationalsecurity']"
1598019748507578368,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Muratibrahim34/status/1598019748507578368&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Democracy', 'Crime&justice', 'Nationalsecurity']"
1588957357945786369,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/polatgdogu/status/1588957357945786369&entry.653903203=26617&usp=pp_url
",Neutral,Yes,Yes,Yes,"['Nationalsecurity', 'Minorities&discrimination']"
1597334233470898176,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/cemkayali1977/status/1597334233470898176&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Election', 'Terrorism', 'Nationalsecurity']"
1588915997859545089,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/MalcokFatih/status/1588915997859545089&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Nationalsecurity']"
1444926725683662849,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Oduncu84931459/status/1444926725683662849&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Nationalsecurity']"
1403771880985800711,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/CryptoSopranoo/status/1403771880985800711&entry.653903203=26617&usp=pp_url
",Positive,Yes,No,No,"['News', 'Economy']"
1588492119488233472,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/DogsComputerCh1/status/1588492119488233472&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Crime&justice', 'Terrorism', 'Nationalsecurity']"
